"branch", "difficulty", "question", "answer"
"thieu", "easy", "Câu 1", "A"
"thieu", "easy", "Câu 2", "A"
"thieu", "easy", "Câu 3", "A"
"thieu", "easy", "Câu 4", "A"
"thieu", "easy", "Câu 5", "A"
"thieu", "easy", "Câu 6", "A"
"thieu", "easy", "Câu 7", "A"
"thieu", "easy", "Câu 8", "A"
"thieu", "easy", "Câu 9", "A"
"thieu", "easy", "Câu 10", "A"
"thieu", "easy", "Câu 11", "A"
"thieu", "easy", "Câu 12", "A"
"thieu", "medium", "Câu 13", "A"
"thieu", "medium", "Câu 14", "A"
"thieu", "medium", "Câu 15", "A"
"thieu", "medium", "Câu 16", "A"
"thieu", "medium", "Câu 17", "A"
"thieu", "medium", "Câu 18", "A"
"thieu", "medium", "Câu 19", "A"
"thieu", "medium", "Câu 20", "A"
"thieu", "medium", "Câu 21", "A"
"thieu", "medium", "Câu 22", "A"
"thieu", "medium", "Câu 23", "A"
"thieu", "medium", "Câu 24", "A"
"thieu", "hard", "Câu 25", "A"
"thieu", "hard", "Câu 26", "A"
"thieu", "hard", "Câu 27", "A"
"thieu", "hard", "Câu 28", "A"
"thieu", "hard", "Câu 29", "A"
"thieu", "hard", "Câu 30", "A"
"thieu", "hard", "Câu 31", "A"
"thieu", "hard", "Câu 32", "A"
"thieu", "hard", "Câu 33", "A"
"thieu", "hard", "Câu 34", "A"
"thieu", "hard", "Câu 35", "A"
"thieu", "hard", "Câu 36", "A"
"oanh", "easy", "Câu 1", "A"
"oanh", "easy", "Câu 2", "A"
"oanh", "easy", "Câu 3", "A"
"oanh", "easy", "Câu 4", "A"
"oanh", "easy", "Câu 5", "A"
"oanh", "easy", "Câu 6", "A"
"oanh", "easy", "Câu 7", "A"
"oanh", "easy", "Câu 8", "A"
"oanh", "easy", "Câu 9", "A"
"oanh", "easy", "Câu 10", "A"
"oanh", "easy", "Câu 11", "A"
"oanh", "easy", "Câu 12", "A"
"oanh", "medium", "Câu 13", "A"
"oanh", "medium", "Câu 14", "A"
"oanh", "medium", "Câu 15", "A"
"oanh", "medium", "Câu 16", "A"
"oanh", "medium", "Câu 17", "A"
"oanh", "medium", "Câu 18", "A"
"oanh", "medium", "Câu 19", "A"
"oanh", "medium", "Câu 20", "A"
"oanh", "medium", "Câu 21", "A"
"oanh", "medium", "Câu 22", "A"
"oanh", "medium", "Câu 23", "A"
"oanh", "medium", "Câu 24", "A"
"oanh", "hard", "Câu 25", "A"
"oanh", "hard", "Câu 26", "A"
"oanh", "hard", "Câu 27", "A"
"oanh", "hard", "Câu 28", "A"
"oanh", "hard", "Câu 29", "A"
"oanh", "hard", "Câu 30", "A"
"oanh", "hard", "Câu 31", "A"
"oanh", "hard", "Câu 32", "A"
"oanh", "hard", "Câu 33", "A"
"oanh", "hard", "Câu 34", "A"
"oanh", "hard", "Câu 35", "A"
"oanh", "hard", "Câu 36", "A"
