"pack","branch","question","answer_a","answer_b","answer_c","answer_d","correct"
"1","thieu","Thủ đô của Việt Nam là thành phố nào?","Hà Nội","Huế","Đà Nẵng","TP. Hồ Chí Minh","A"
"1","thieu","Việt Nam hiện có bao nhiêu đơn vị hành chính cấp tỉnh theo hệ thống mới năm 2025?","58","63","34","36","C"
"1","thieu","Hành tinh nào gần Mặt Trời nhất?","Sao Kim","Sao Thủy","Trái Đất","Sao Hỏa","B"
"1","thieu","Một năm thông thường có bao nhiêu ngày?","365","364","366","360","A"
"1","thieu","Nước đóng băng ở nhiệt độ bao nhiêu độ C trong điều kiện tiêu chuẩn?","0°C","10°C","32°C","100°C","A"
"1","thieu","Ai là tác giả của Truyện Kiều?","Nguyễn Du","Nguyễn Trãi","Hồ Xuân Hương","Nam Cao","A"
"1","thieu","Loài vật nào được gọi là 'chúa sơn lâm'?","Voi","Hổ","Sư tử","Báo","B"
"1","thieu","Có bao nhiêu ngày trong một tuần?","5","6","7","8","C"
"2","thieu","Biển Đông nằm ở phía nào của Việt Nam?","Phía Đông","Phía Tây","Phía Bắc","Phía Tây Nam","A"
"2","thieu","Đơn vị tiền tệ của Việt Nam là gì?","Baht","Đồng","Yên","Won","B"
"2","thieu","H₂O là công thức hóa học của chất nào?","Oxy","Muối","Nước","Hydro","C"
"2","thieu","Một thế kỷ có bao nhiêu năm?","10","50","100","1.000","C"
"2","thieu","Trong bảng chữ cái tiếng Việt, chữ nào đứng sau chữ 'B'?","A","C","D","Đ","B"
"2","thieu","Cầu Tràng Tiền bắc qua con sông nào?","Sông Hương","Sông Hàn","Sông Thu Bồn","Sông Mã","A"
"2","thieu","Đỉnh núi cao nhất Việt Nam là gì?","Bạch Mã","Fansipan","Ngọc Linh","Langbiang","B"
"2","thieu","Một hình tam giác có tổng ba góc bằng bao nhiêu độ?","90°","180°","270°","360°","B"
"3","thieu","Trong logistics, SKU thường dùng để chỉ gì?","Mã đơn vị lưu kho","Mã khách hàng","Mã vận đơn","Mã tài khoản","A"
"3","thieu","FIFO là nguyên tắc xuất kho nào?","Nhập sau – xuất trước","Nhập trước – xuất trước","Xuất ngẫu nhiên","Nhập trước – xuất sau","B"
"3","thieu","ERP là viết tắt của cụm từ nào?","Enterprise Resource Planning","Electronic Retail Process","Export Resource Program","Enterprise Routing Platform","A"
"3","thieu","Đâu là một phương thức vận tải?","Đường biển","Kế toán","Marketing","Kiểm kê","A"
"3","thieu","KPI là viết tắt của cụm từ nào?","Key Performance Indicator","Key Product Inventory","Knowledge Process Index","Key Planning Instruction","A"
"3","thieu","Barcode chủ yếu giúp doanh nghiệp làm gì?","Nhận diện và truy xuất hàng hóa","Tăng trọng lượng hàng","Giảm kích thước kho","Thay đổi giá vốn","A"
"3","thieu","Tồn kho quá cao thường gây ra vấn đề nào?","Tăng chi phí lưu kho","Luôn tăng lợi nhuận","Không cần kiểm kê","Giảm diện tích sử dụng","A"
"4","thieu","Ngày Quốc khánh Việt Nam là ngày nào?","30/4","1/5","2/9","20/11","C"
"4","thieu","Vu Lan thường được tổ chức vào ngày nào theo lịch âm?","Mùng 1 tháng 1","Rằm tháng 7","Rằm tháng 8","Mùng 5 tháng 5","B"
"4","thieu","Đâu là một trong Tứ đại khí của Phật giáo Việt Nam?","Tượng Phật chùa Quán Thế Âm","Tháp Eiffel","Chùa Một Cột","Cầu Long Biên","A"
"4","thieu","Hành động nào thể hiện lòng biết ơn cha mẹ?","Quan tâm và chăm sóc","Thờ ơ","Nói dối","Trốn tránh","A"
"4","thieu","Màu nào thường tượng trưng cho sự thanh tịnh trong nhiều không gian Phật giáo?","Màu trắng","Màu đen","Màu xám đậm","Màu nâu đỏ","A"
"4","thieu","Câu ca dao 'Công cha như núi Thái Sơn' nhắc nhở về điều gì?","Lòng hiếu thảo","Tinh thần cạnh tranh","Kinh doanh","Du lịch","A"
"4","thieu","Trong một cuộc thi, đáp án được công bố sau khi hết thời gian thường nhằm mục đích gì?","Đảm bảo công bằng","Kéo dài chương trình","Làm khó người chơi","Thay đổi câu hỏi","A"
"1","oanh","Thủ đô của Việt Nam là thành phố nào?","Hà Nội","Huế","Đà Nẵng","TP. Hồ Chí Minh","A"
"1","oanh","Có bao nhiêu ngày trong một tuần?","5","6","7","8","C"
"2","oanh","Đơn vị tiền tệ của Việt Nam là gì?","Baht","Đồng","Yên","Won","B"
"2","oanh","H₂O là công thức hóa học của chất nào?","Oxy","Muối","Nước","Hydro","C"
"3","oanh","Đâu là một phương thức vận tải?","Đường biển","Kế toán","Marketing","Kiểm kê","A"
"3","oanh","Barcode chủ yếu giúp doanh nghiệp làm gì?","Nhận diện và truy xuất hàng hóa","Tăng trọng lượng hàng","Giảm kích thước kho","Thay đổi giá vốn","A"
"4","oanh","Hành động nào thể hiện lòng biết ơn cha mẹ?","Quan tâm và chăm sóc","Thờ ơ","Nói dối","Trốn tránh","A"
"4","oanh","Màu nào thường tượng trưng cho sự thanh tịnh trong nhiều không gian Phật giáo?","Màu trắng","Màu đen","Màu xám đậm","Màu nâu đỏ","A"
